,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,76,NZ,1547347862,86,-46.19,168.86,288.422,3.91
1,Puerto Ayora,20,EC,1547347593,99,-0.74,-90.35,297.972,4.71
2,Yaan,8,NG,1547348266,58,7.38,8.57,293.572,1.78
3,Ushuaia,75,AR,1547344800,75,-54.81,-68.31,279.15,14.4
4,Sri Aman,75,MY,1547344800,88,1.24,111.46,301.15,0.5
5,Sheridan,1,US,1547346600,90,39.65,-105.03,273.15,1.5
6,Mugango,20,TZ,1547344800,77,-1.69,33.7,293.15,1.73
7,Sorland,88,NO,1547348128,100,67.67,12.69,274.172,6.41
8,Leningradskiy,20,RU,1547347838,100,69.38,178.42,245.572,3.86
9,Georgetown,75,GY,1547344800,83,6.8,-58.16,299.15,6.2
